Indicator Name
Fertilizer consumption (% of fertilizer production)
Fertilizer consumption (kilograms per hectare of arable land)
Agricultural land (sq. km)
Agricultural land (% of land area)
Arable land (hectares)
Arable land (hectares per person)
Arable land (% of land area)
Land under cereal production (hectares)
Permanent cropland (% of land area)
Rural land area where elevation is below 5 meters (sq. km)
Rural land area where elevation is below 5 meters (% of total land area)
Urban land area where elevation is below 5 meters (sq. km)
Urban land area where elevation is below 5 meters (% of total land area)
Land area where elevation is below 5 meters (% of total land area)
Forest area (sq. km)
Forest area (% of land area)
Agricultural irrigated land (% of total agricultural land)
Average precipitation in depth (mm per year)
Land area (sq. km)
Rural land area (sq. km)
Urban land area (sq. km)
Cereal production (metric tons)
Crop production index (2014-2016 = 100)
Food production index (2014-2016 = 100)
Livestock production index (2014-2016 = 100)
Surface area (sq. km)
Cereal yield (kg per hectare)
Trade in services (% of GDP)
"Communications, computer, etc. (% of service imports, BoP)"
"Primary income payments (BoP, current US$)"
Electric power transmission and distribution losses (% of output)
Electricity production from natural gas sources (% of total)
Electricity production from nuclear sources (% of total)
Electricity production from oil sources (% of total)
Renewable electricity output (% of total electricity output)
"Electricity production from renewable sources, excluding hydroelectric (kWh)"
"Electricity production from renewable sources, excluding hydroelectric (% of total)"
Renewable energy consumption (% of total final energy consumption)
GDP per unit of energy use (PPP $ per kg of oil equivalent)
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)
"Energy imports, net (% of energy use)"
Alternative and nuclear energy (% of total energy use)
Fossil fuel energy consumption (% of total)
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
Combustible renewables and waste (% of total energy)
Electric power consumption (kWh per capita)
Energy use (kg of oil equivalent per capita)
CO2 intensity (kg per kg of oil equivalent energy use)
CO2 emissions from gaseous fuel consumption (kt)
CO2 emissions from gaseous fuel consumption (% of total)
CO2 emissions (kg per 2015 US$ of GDP)
CO2 emissions (kt)
CO2 emissions from liquid fuel consumption (kt)
CO2 emissions from liquid fuel consumption (% of total)
CO2 emissions (metric tons per capita)
CO2 emissions (kg per PPP $ of GDP)
CO2 emissions (kg per 2021 PPP $ of GDP)
CO2 emissions from solid fuel consumption (kt)
CO2 emissions from solid fuel consumption (% of total)
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
Other greenhouse gas emissions (% change from 1990)
Total greenhouse gas emissions (kt of CO2 equivalent)
Total greenhouse gas emissions (% change from 1990)
HFC gas emissions (thousand metric tons of CO2 equivalent)
Agricultural methane emissions (thousand metric tons of CO2 equivalent)
Agricultural methane emissions (% of total)
Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
Energy related methane emissions (% of total)
Methane emissions (kt of CO2 equivalent)
Methane emissions (% change from 1990)
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
Agricultural nitrous oxide emissions (% of total)
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
Nitrous oxide emissions in energy sector (% of total)
Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
Nitrous oxide emissions (% change from 1990)
PFC gas emissions (thousand metric tons of CO2 equivalent)
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)"
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)"
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
SF6 gas emissions (thousand metric tons of CO2 equivalent)
"Bird species, threatened"
Disaster risk reduction progress score (1-5 scale; 5=best)
GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
CO2 emissions from transport (% of total fuel combustion)
"Fish species, threatened"
"Plant species (higher), threatened"
"Mammal species, threatened"
Population density (people per sq. km of land area)
Rural population living in areas where elevation is below 5 meters (% of total population)
Urban population living in areas where elevation is below 5 meters (% of total population)
Population living in areas where elevation is below 5 meters (% of total population)
Population living in slums (% of urban population)
Population in largest city
Population in the largest city (% of urban population)
Population in urban agglomerations of more than 1 million
Population in urban agglomerations of more than 1 million (% of total population)
Aquaculture production (metric tons)
Capture fisheries production (metric tons)
Total fisheries production (metric tons)
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
"Annual freshwater withdrawals, total (billion cubic meters)"
"Annual freshwater withdrawals, total (% of internal resources)"
"Renewable internal freshwater resources, total (billion cubic meters)"
Renewable internal freshwater resources per capita (cubic meters)
Terrestrial protected areas (% of total land area)
Marine protected areas (% of territorial waters)
Terrestrial and marine protected areas (% of total territorial area)
Bank nonperforming loans to total gross loans (%)
"Automated teller machines (ATMs) (per 100,000 adults)"
Bank capital to assets ratio (%)
"Commercial bank branches (per 100,000 adults)"
"Borrowers from commercial banks (per 1,000 adults)"
"Depositors with commercial banks (per 1,000 adults)"
Domestic credit to private sector by banks (% of GDP)
Bank liquid reserves to bank assets ratio (%)
"Total reserves (includes gold, current US$)"
Total reserves (% of total external debt)
Total reserves in months of imports
Total reserves minus gold (current US$)
Claims on central government (annual growth as % of broad money)
Claims on other sectors of the domestic economy (annual growth as % of broad money)
Net domestic credit (current LCU)
Net foreign assets (current LCU)
Monetary Sector credit to private sector (% GDP)
Claims on private sector (annual growth as % of broad money)
Broad money (current LCU)
Broad money (% of GDP)
Broad money to total reserves ratio
Broad money growth (annual %)
Consumer price index (2010 = 100)
"Inflation, consumer prices (annual %)"
Wholesale price index (2010 = 100)
Deposit interest rate (%)
Lending interest rate (%)
"Interest rate spread (lending rate minus deposit rate, %)"
Real interest rate (%)
"Risk premium on lending (lending rate minus treasury bill rate, %)"
"Claims on central government, etc. (% GDP)"
Claims on other sectors of the domestic economy (% of GDP)
Domestic credit provided by financial sector (% of GDP)
Domestic credit to private sector (% of GDP)
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
Research and development expenditure (% of GDP)
Net acquisition of financial assets (current LCU)
Net acquisition of financial assets (% of GDP)
"Central government debt, total (current LCU)"
"Central government debt, total (% of GDP)"
"Net incurrence of liabilities, total (current LCU)"
"Net incurrence of liabilities, total (% of GDP)"
Net investment in nonfinancial assets (current LCU)
Net investment in nonfinancial assets (% of GDP)
Net lending (+) / net borrowing (-) (current LCU)
Net lending (+) / net borrowing (-) (% of GDP)
Grants and other revenue (current LCU)
Grants and other revenue (% of revenue)
Social contributions (current LCU)
Social contributions (% of revenue)
"Revenue, excluding grants (current LCU)"
"Revenue, excluding grants (% of GDP)"
Taxes on exports (current LCU)
Taxes on exports (% of tax revenue)
Taxes on goods and services (current LCU)
Taxes on goods and services (% of revenue)
Taxes on goods and services (% value added of industry and services)
Customs and other import duties (current LCU)
Customs and other import duties (% of tax revenue)
Taxes on international trade (current LCU)
Taxes on international trade (% of revenue)
Other taxes (current LCU)
Other taxes (% of revenue)
Tax revenue (current LCU)
Tax revenue (% of GDP)
"Taxes on income, profits and capital gains (current LCU)"
"Taxes on income, profits and capital gains (% of revenue)"
"Taxes on income, profits and capital gains (% of total taxes)"
Compensation of employees (current LCU)
Compensation of employees (% of expense)
Goods and services expense (current LCU)
Goods and services expense (% of expense)
Interest payments (current LCU)
Interest payments (% of revenue)
Interest payments (% of expense)
Other expense (current LCU)
Other expense (% of expense)
Expense (current LCU)
Expense (% of GDP)
Subsidies and other transfers (current LCU)
Subsidies and other transfers (% of expense)
Primary government expenditures as a proportion of original approved budget (%)
Human capital index (HCI) (scale 0-1)
"Human capital index (HCI), female (scale 0-1)"
"Human capital index (HCI), lower bound (scale 0-1)"
"Human capital index (HCI), female, lower bound (scale 0-1)"
"Human capital index (HCI), male, lower bound (scale 0-1)"
"Human capital index (HCI), male (scale 0-1)"
"Human capital index (HCI), upper bound (scale 0-1)"
"Human capital index (HCI), female, upper bound (scale 0-1)"
"Human capital index (HCI), male, upper bound (scale 0-1)"
Ease of doing business score (0 = lowest performance to 100 = best performance)
Business extent of disclosure index (0=less disclosure to 10=more disclosure)
Ease of doing business rank (1=most business-friendly regulations)
"New business density (new registrations per 1,000 people ages 15-64)"
New businesses registered (number)
Depth of credit information index (0=low to 8=high)
Private credit bureau coverage (% of adults)
Public credit registry coverage (% of adults)
Average time to clear exports through customs (days)
Time to obtain an electrical connection (days)
Power outages in firms in a typical month (number)
Firms experiencing electrical outages (% of firms)
Time required to get electricity (days)
"Cost to export, border compliance (US$)"
"Cost to export, documentary compliance (US$)"
"Time to export, border compliance (hours)"
"Time to export, documentary compliance (hours)"
Firms using banks to finance working capital (% of firms)
Firms using banks to finance investment (% of firms)
Bribery incidence (% of firms experiencing at least one bribe payment request)
Firms competing against unregistered firms (% of firms)
Informal payments to public officials (% of firms)
Losses due to theft and vandalism (% of annual sales of affected firms)
Time required to obtain an operating license (days)
Firms with female top manager (% of firms)
Firms with female participation in ownership (% of firms)
Firms formally registered when operations started (% of firms)
Firms that do not report all sales for tax purposes (% of firms)
Firms visited or required meetings with tax officials (% of firms)
Value lost due to electrical outages (% of sales for affected firms)
Firms that spend on R&D (% of firms)
Firms experiencing losses due to theft and vandalism (% of firms)
Firms offering formal training (% of firms)
Time spent dealing with the requirements of government regulations (% of senior management time)
"Cost to import, border compliance (US$)"
"Cost to import, documentary compliance (US$)"
"Time to import, border compliance (hours)"
"Time to import, documentary compliance (hours)"
Time to resolve insolvency (years)
Strength of legal rights index (0=weak to 12=strong)
Time required to enforce a contract (days)
Time required to register property (days)
Procedures to register property (number)
"Cost of business start-up procedures, female (% of GNI per capita)"
"Cost of business start-up procedures, male (% of GNI per capita)"
Cost of business start-up procedures (% of GNI per capita)
Time required to start a business (days)
"Time required to start a business, female (days)"
"Time required to start a business, male (days)"
Start-up procedures to register a business (number)
"Start-up procedures to register a business, female (number)"
"Start-up procedures to register a business, male (number)"
Time to prepare and pay taxes (hours)
Firms expected to give gifts in meetings with tax officials (% of firms)
Labor tax and contributions (% of commercial profits)
Number of visits or required meetings with tax officials (average for affected firms)
Other taxes payable by businesses (% of commercial profits)
Tax payments (number)
Profit tax (% of commercial profits)
Total tax and contribution rate (% of profit)
Time required to build a warehouse (days)
Procedures to build a warehouse (number)
Investment in energy with private participation (current US$)
Investment in ICT with private participation (current US$)
Investment in transport with private participation (current US$)
Investment in water and sanitation with private participation (current US$)
Public private partnerships investment in energy (current US$)
Public private partnerships investment in ICT (current US$)
Public private partnerships investment in transport (current US$)
Public private partnerships investment in water and sanitation (current US$)
"Industrial design applications, nonresident, by count"
"Industrial design applications, resident, by count"
Scientific and technical journal articles
"Patent applications, nonresidents"
"Patent applications, residents"
"Trademark applications, nonresident, by count"
"Trademark applications, resident, by count"
CPIA business regulatory environment rating (1=low to 6=high)
CPIA debt policy rating (1=low to 6=high)
CPIA economic management cluster average (1=low to 6=high)
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
CPIA quality of budgetary and financial management rating (1=low to 6=high)
CPIA financial sector rating (1=low to 6=high)
CPIA fiscal policy rating (1=low to 6=high)
CPIA gender equality rating (1=low to 6=high)
CPIA building human resources rating (1=low to 6=high)
IDA resource allocation index (1=low to 6=high)
CPIA macroeconomic management rating (1=low to 6=high)
CPIA quality of public administration rating (1=low to 6=high)
CPIA equity of public resource use rating (1=low to 6=high)
CPIA property rights and rule-based governance rating (1=low to 6=high)
CPIA social protection rating (1=low to 6=high)
CPIA public sector management and institutions cluster average (1=low to 6=high)
CPIA efficiency of revenue mobilization rating (1=low to 6=high)
CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
CPIA structural policies cluster average (1=low to 6=high)
CPIA trade rating (1=low to 6=high)
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
Statistical performance indicators (SPI): Overall score (scale 0-100)
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
"Air transport, registered carrier departures worldwide"
"Air transport, freight (million ton-km)"
"Air transport, passengers carried"
"Railways, goods transported (million ton-km)"
"Railways, passengers carried (million passenger-km)"
Rail lines (total route-km)
Liner shipping connectivity index (maximum value in 2004 = 100)
Container port traffic (TEU: 20 foot equivalent units)
Mobile cellular subscriptions
Mobile cellular subscriptions (per 100 people)
Fixed telephone subscriptions
Fixed telephone subscriptions (per 100 people)
Fixed broadband subscriptions
Fixed broadband subscriptions (per 100 people)
Secure Internet servers
Secure Internet servers (per 1 million people)
Individuals using the Internet (% of population)
"Lead time to export, median case (days)"
"Lead time to import, median case (days)"
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
Logistics performance index: Overall (1=low to 5=high)
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
Arms imports (SIPRI trend indicator values)
"Armed forces personnel, total"
Armed forces personnel (% of total labor force)
Military expenditure (current USD)
Military expenditure (current LCU)
Military expenditure (% of GDP)
Military expenditure (% of general government expenditure)
Arms exports (SIPRI trend indicator values)
General government final consumption expenditure (current US$)
General government final consumption expenditure (current LCU)
General government final consumption expenditure (constant 2015 US$)
General government final consumption expenditure (annual % growth)
General government final consumption expenditure (constant LCU)
General government final consumption expenditure (% of GDP)
Household and NPISHs Final consumption expenditure (current US$)
Household and NPISHs Final consumption expenditure (current LCU)
Households and NPISHs final consumption expenditure: linked series (current LCU)
Households and NPISHs Final consumption expenditure (constant 2015 US$)
Household and NPISHs Final consumption expenditure (annual % growth)
Household and NPISHs Final consumption expenditure (constant LCU)
Households and NPISHs final consumption expenditure per capita (constant 2015 US$)
Household final consumption expenditure per capita growth (annual %)
"Households and NPISHs Final consumption expenditure, PPP (current international $)"
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
Households and NPISHs final consumption expenditure (% of GDP)
Final consumption expenditure (current US$)
Final consumption expenditure (current LCU)
Final consumption expenditure (constant 2015 US$)
Final consumption expenditure (annual % growth)
Final consumption expenditure (constant LCU)
Final consumption expenditure (% of GDP)
Gross national expenditure deflator (base year varies by country)
Gross national expenditure (current US$)
Gross national expenditure (current LCU)
Gross national expenditure (constant 2015 US$)
Gross national expenditure (constant LCU)
Gross national expenditure (% of GDP)
Exports of goods and services (current US$)
Exports of goods and services (current LCU)
Exports of goods and services (constant 2015 US$)
Exports of goods and services (annual % growth)
Exports of goods and services (constant LCU)
Exports of goods and services (% of GDP)
"Gross fixed capital formation, private sector (current LCU)"
"Gross fixed capital formation, private sector (% of GDP)"
Gross fixed capital formation (current US$)
Gross fixed capital formation (current LCU)
Gross fixed capital formation (constant 2015 US$)
Gross fixed capital formation (annual % growth)
Gross fixed capital formation (constant LCU)
Gross fixed capital formation (% of GDP)
Changes in inventories (current US$)
Changes in inventories (current LCU)
Changes in inventories (constant LCU)
Gross capital formation (current US$)
Gross capital formation (current LCU)
Gross capital formation (constant 2015 US$)
Gross capital formation (annual % growth)
Gross capital formation (constant LCU)
Gross capital formation (% of GDP)
Imports of goods and services (current US$)
Imports of goods and services (current LCU)
Imports of goods and services (constant 2015 US$)
Imports of goods and services (annual % growth)
Imports of goods and services (constant LCU)
Imports of goods and services (% of GDP)
External balance on goods and services (current US$)
External balance on goods and services (current LCU)
External balance on goods and services (constant LCU)
External balance on goods and services (% of GDP)
Trade (% of GDP)
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
"Agriculture, forestry, and fishing, value added (current US$)"
"Agriculture, forestry, and fishing, value added (current LCU)"
"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
"Agriculture, forestry, and fishing, value added (annual % growth)"
"Agriculture, forestry, and fishing, value added (constant LCU)"
"Agriculture, forestry, and fishing, value added (% of GDP)"
Financial intermediary services indirectly Measured (FISIM) (current LCU)
Financial intermediary services indirectly Measured (FISIM) (constant LCU)
"Industry (including construction), value added per worker (constant 2015 US$)"
"Manufacturing, value added (current US$)"
"Manufacturing, value added (current LCU)"
"Manufacturing, value added (constant 2015 US$)"
"Manufacturing, value added (annual % growth)"
"Manufacturing, value added (constant LCU)"
"Manufacturing, value added (% of GDP)"
"Industry (including construction), value added (current US$)"
"Industry (including construction), value added (current LCU)"
"Industry (including construction), value added (constant 2015 US$)"
"Industry (including construction), value added (annual % growth)"
"Industry (including construction), value added (constant LCU)"
"Industry (including construction), value added (% of GDP)"
Chemicals (% of value added in manufacturing)
"Food, beverages and tobacco (% of value added in manufacturing)"
Machinery and transport equipment (% of value added in manufacturing)
Other manufacturing (% of value added in manufacturing)
Medium and high-tech manufacturing value added (% manufacturing value added)
Textiles and clothing (% of value added in manufacturing)
"Services, value added per worker (constant 2015 US$)"
"Services, value added (current US$)"
"Services, value added (current LCU)"
"Services, value added (constant 2015 US$)"
"Services, value added (annual % growth)"
"Services, value added (constant LCU)"
"Services, value added (% of GDP)"
